  0%|                                                                                               | 0/500 [00:00<?, ?it/s]Could not estimate the number of tokens of the input, floating-point operations will not be computed
                                                                                                                            
{'loss': 0.8225, 'grad_norm': 3.318990468978882, 'learning_rate': 3.6e-05, 'epoch': 0.0}
{'loss': 0.0613, 'grad_norm': 0.8141024708747864, 'learning_rate': 6.732524226298841e-05, 'epoch': 0.03}
{'loss': 0.0829, 'grad_norm': 0.9468361139297485, 'learning_rate': 6.418755520036775e-05, 'epoch': 0.03}
{'loss': 0.0796, 'grad_norm': 0.6965128183364868, 'learning_rate': 6.0987829568702656e-05, 'epoch': 0.03}
{'loss': 0.0798, 'grad_norm': 1.127314567565918, 'learning_rate': 5.7740056954050084e-05, 'epoch': 0.04}
{'loss': 0.06, 'grad_norm': 1.4155848026275635, 'learning_rate': 5.445843903969854e-05, 'epoch': 0.04}
{'loss': 0.052, 'grad_norm': 0.7054800987243652, 'learning_rate': 5.1157325505820694e-05, 'epoch': 0.04}
{'loss': 0.059, 'grad_norm': 0.7660062909126282, 'learning_rate': 4.785115128197298e-05, 'epoch': 0.04}
{'loss': 0.0536, 'grad_norm': 0.7886701822280884, 'learning_rate': 4.4554373426821374e-05, 'epoch': 0.04}
{'loss': 0.0628, 'grad_norm': 1.4434950351715088, 'learning_rate': 4.1281407911102425e-05, 'epoch': 0.04}
{'loss': 0.0536, 'grad_norm': 0.9001641869544983, 'learning_rate': 3.8046566580251e-05, 'epoch': 0.04}
{'loss': 0.0673, 'grad_norm': 0.7539929151535034, 'learning_rate': 3.4863994572341843e-05, 'epoch': 0.05}
{'loss': 0.0358, 'grad_norm': 0.6108214855194092, 'learning_rate': 3.1747608464999725e-05, 'epoch': 0.05}
{'loss': 0.041, 'grad_norm': 0.4837505519390106, 'learning_rate': 2.8711035421746367e-05, 'epoch': 0.05}
{'loss': 0.0518, 'grad_norm': 0.8078829050064087, 'learning_rate': 2.5767553603881767e-05, 'epoch': 0.05}
{'loss': 0.0486, 'grad_norm': 1.5803087949752808, 'learning_rate': 2.29300341084631e-05, 'epoch': 0.05}
{'loss': 0.039, 'grad_norm': 0.3863455355167389, 'learning_rate': 2.0210884686272368e-05, 'epoch': 0.05}
{'loss': 0.0389, 'grad_norm': 0.7085531949996948, 'learning_rate': 1.7621995485879062e-05, 'epoch': 0.05}
{'loss': 0.0425, 'grad_norm': 0.7141103744506836, 'learning_rate': 1.517468706104589e-05, 'epoch': 0.06}
{'loss': 0.0457, 'grad_norm': 0.6287118196487427, 'learning_rate': 1.2879660868827508e-05, 'epoch': 0.06}
{'loss': 0.0436, 'grad_norm': 0.821704089641571, 'learning_rate': 1.0746952474821614e-05, 'epoch': 0.06}
{'loss': 0.0436, 'grad_norm': 0.6595329642295837, 'learning_rate': 8.785887670194138e-06, 'epoch': 0.06}
{'loss': 0.0309, 'grad_norm': 0.5961970090866089, 'learning_rate': 7.005041692367154e-06, 'epoch': 0.06}
{'loss': 0.0402, 'grad_norm': 0.578628659248352, 'learning_rate': 5.412201727687644e-06, 'epoch': 0.06}
{'loss': 0.0338, 'grad_norm': 0.48573747277259827, 'learning_rate': 4.01433286004283e-06, 'epoch': 0.07}
{'loss': 0.0269, 'grad_norm': 0.54139244556427, 'learning_rate': 2.817547614320615e-06, 'epoch': 0.07}
{'loss': 0.0328, 'grad_norm': 0.6104289293289185, 'learning_rate': 1.8270792278934302e-06, 'epoch': 0.07}
{'loss': 0.0341, 'grad_norm': 0.40234851837158203, 'learning_rate': 1.0472587670027678e-06, 'epoch': 0.07}
{'loss': 0.0347, 'grad_norm': 0.3963511288166046, 'learning_rate': 4.814961881085045e-07, 'epoch': 0.07}
{'loss': 0.0401, 'grad_norm': 0.36650583148002625, 'learning_rate': 1.3226542701689215e-07, 'epoch': 0.07}
{'loss': 0.0292, 'grad_norm': 0.48519328236579895, 'learning_rate': 1.0935809887702154e-09, 'epoch': 0.07}
{'train_runtime': 831.2312, 'train_samples_per_second': 4.812, 'train_steps_per_second': 0.602, 'train_loss': 0.09187581622600556, 'epoch': 0.07}
